LSR_GOODS_CD,LSR_GOODS_NM,CSTMR_INQRY_CTTPLC_DC
41475,[강원 속초] 설악워터피아 + 식음료 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41476,[경기 용인] 양지파인 스키밸리 리프트권 야간+심야권 ★리프트권_양지파인리조트,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41477,[경기 용인] 양지파인 스키밸리 리프트권 심야권 ★리프트권_양지파인리조트,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41478,[경기 용인] 양지파인 스키밸리 리프트권 복합권 ★리프트권_양지파인리조트,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41479,[경기 용인] 양지파인 스키밸리 리프트권 단일권 ★리프트권_양지파인리조트,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41480,[강원 홍천] 오션월드 종일권 로우시즌,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41482,[경북 경주] 플라잉 경주,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41483,[대구 달서] 엘리바덴 신월성점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41486,[대구 달서] 온천엘리바덴 상인점,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41487,[인천 남동] 코코몽 키즈랜드 인천점 1월,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41488,[경기 평택] 코코몽 키즈랜드 평택점 1월,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41489,"[경기 이천] 지산,양지,곤지암 야간강습권",• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41492,[경기 부천] 아인스월드 골드러시 뷔페,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41493,[서울 종로]안나라수마나라 1월,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41494,[서울 종로] 연극 술래잡기★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41497,[충남 보령] 대천카트장 서바이벌 체험,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41498,[부산 해운대] 신세계 스파랜드,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41499,[서울 종로] 옥탑방고양이 1월★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41501,[경기 부천] 캠프vr 부천점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41502,[강원 평창] 대관령 눈꽃축제,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41503,[서울 종로] 극적인하룻밤★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41504,[경기 과천] 서울랜드 종일권+눈썰매,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41505,[경기 포천] 베어스타운 코코몽 눈썰매장,
41511,[경기 포천] 베어스타운 18/19 스키리프트권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41518,[경기 이천] 미란다호텔 스파플러스 동계 극성수기 시즌 다인권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41519,[경기 이천] 미란다호텔 스파플러스 동계 극성수기 시즌 소인권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41520,[강원 평창] 평창 알펜시아 18/19 스키 시즌권 4차,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41521,[제주 서귀포] 한화 아쿠아플라넷 제주 아쿠아리움,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41522,[경기 일산] 원마운트 스노우파크+프리미엄 찜질방 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41529,[경기 여주] 썬밸리 워터파크 이용권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41531,[서울 종로] 로맨틱코미디 연극 한뼘사이,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41537,[서울 강남] 코엑스 아쿠아리움 1월 ★ 임팩트딜,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41538,[서울 중구] 서울시티투어버스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41540,[서울 종로] 죽어야 사는 남자 1월★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41544,[경기 부천] 부천 종합운동장 눈썰매장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41548,[서울 강남] 이색데이트 다트프린스,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41549,[부산 광역] 부산광역 투어패스 + 요트탈래 ♬,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41550,[전북 군산] 군산투어패스 + 교복은여기서 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41552,[서울 서초] 이매진 존레논展★전시,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41555,[서울 종로] MKS행복제작소 테라리움 원데이 클래스,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41556,[전남 여수] 스카이타워,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41558,[강원 평창] 겨울바라기 스키렌탈 ★렌탈샵_용평리조트,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41560,[경북 경주] 한국대중음악박물관,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41562,[서울 영등포] 대규모 퍼스트비앤피 볼링센터,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41567,[강원 인제] 엑스게임 번지점프&슬링샷,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41570,[경기 용인] 에버랜드 종일이용권 ★츄러스 공짜★,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41576,[강원 평창] 휘닉스평창 블루캐니언 세트권 : 화이트시즌,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41577,[강원 평창] 휘닉스평창 블루캐니언 종일권 : 화이트시즌,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41581,[경기 고양] PSR 레이싱 : 고양화정점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41582,[경북 경주] 혼자수미술관,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41585,[경기 부천] 아인스키즈 롤러장,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41587,[경기 부천] 아인스키즈 롤러장+아인스월드 PKG,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41596,[경기 일산] 원마운트 워터파크+찜질방 PKG,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41600,[서울 종로] 연극 조각 1월★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41602,[전북 무주] 무주투어패스 1일권 + 태권도원 체험관,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41603,[경기 일산] 원마운트 워터파크 라이프 PKG,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41611,[이천] 미란다호텔 스파플러스 동계시즌 성수기,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41614,[경북 청도] 군불로 눈썰매장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41619,[이천] 미란다호텔 스파플러스 동계시즌 성수기 다인권,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41623,[이천] 미란다호텔 스파플러스 동계시즌 성수기 소인권,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41627,[경기 양주] 송추 스포지움 눈썰매&실내키즈랜드,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41630,[경기 부천] 이색데이트 다트프린스,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41633,[서울 마포] 연극 당신이주인공 1월★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41635,[경기 이천] 플레이즈파크,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41639,[충남 천안] 천안 오션파크 ★단독특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41640,롯데월드 어드벤쳐 ★단독특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41654,[전북 군산] 고군산군도 선유도 + 경암동 철길마을 ★ 당일여행,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41659,[서울 강동] 미스터힐링 : 힐링카페,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41664,[서울 강북] 미스터힐링 노원/수유점 : 힐링카페,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41671,[서울 강서] 미스터힐링 : 힐링카페 마곡발산역점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41687,[서울 관악] 미스터힐링 신림포도몰 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41688,[경남 김해] 롯데워터파크+눈썰매장 오후 1시 입장권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41690,[서울 강남] 러빙빈센트展 ★전시,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41691,[울산 동구] THE GREAT GRAFFITI : 위대한 낙서展 ★전시,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41692,[인천 부평] 부평 엔터파크 게임장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41693,[충북 충주] 중앙탑썰매장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41696,[서울 금천] 미스터힐링 마리오아울렛점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41697,[서울 구로] 미스터힐링 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41698,[서울 광진] 미스터힐링 건대점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41701,[경기 가평] 슬로우파크 겨울놀이 축제,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41702,[전북 전주] 오케스트라 휘트니스 회원권,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41703,[전북 무주] 스노우밸리 렌탈&강습&리프트권&숙박 패키지,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41705,[서울/경기/인천 出] 대관령 눈꽃축제&대관령하늘목장(당일),• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41707,[서울 강남] 슈터스클럽 사격장,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41708,[경북 문경] 한화리조트 온천 & 문경테마터널 & 주흘관 ★ 당일여행,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41716,[이천] 미란다호텔 스파플러스 동계시즌 성수기★핫딜,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41717,[이천] 미란다호텔 스파플러스 동계시즌 성수기 스파존★핫딜,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41719,[경기 양평] 동동카누 썰매패키지,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41720,[전북 익산] 캠프 vr 익산모현점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41721,[경기 포천] 포천 투어패스 ♬,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41722,[경기 이천] 지산 야놀자 렌탈 ★렌탈샵_지산리조트,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41723,[홍천]비발디파크 스키리프트권+장비렌탈 pkg★한정특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41724,[강원 평창] 알펜시아리조트 스키리프트권 골드시즌 ★핫딜,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41725,[서울 강남] 러빙빈센트展 오픈특가 ★전시,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41726,[전남 여수] 엑스포 스카이플라이 왕복권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41727,[서울 마포] 미스터힐링 마포점 / 홍대역점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41728,[서울 서대문] 미스터힐링 신촌 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41729,[전남 여수] 엑스포 카트,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41730,주노플로 STATUES KOREA TOUR - 서울★공연,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41731,주노플로 STATUES KOREA TOUR - 대전,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41732,주노플로 STATUES KOREA TOUR - 부산,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41736,[경기 용인] 에버랜드 2/3인권 + 3천원 식음할인권 1매 증정,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41737,[서울 종로] AP사진전 빛이 남긴 감정 너를 다시 볼 수 있을까 ★전시,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41738,[경기 용인] [중/고/대학생전용] 에버랜드 종일+모나미볼펜세트,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41739,[전남 여수] 해상케이블카,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41741,[전남 여수] 여수해상케이블카 + 스카이플라이,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41747,[서울 구로] 이색데이트 다트프린스,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41751,[경남 김해] 롯데워터파크+눈썰매장 오후 1시 입장권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41764,[대구 달서] 이월드 럭키박스PKG ★특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41765,[경기 용인] 양지파인 스키밸리 스키리프트권 심야/야심권 특가 ★리프트권_양지파인리조트,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41776,[경기 용인] 에버랜드 2/3인권 + 츄러스1개 무료,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41777,[경기 이천] 테르메덴  온천수 스파 ★수특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41792,[경기 고양] 힐링카페 릴렉스케어 커플is뭔들,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41793,[대구 달성] 스파밸리 워터파크 3/4인권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41794,[부산 동구] 해수랜드 스파,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41795,[서울 대학로] 연극 하트시그널 1월★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41796,[부산 해운대] 센텀 렛츠볼 볼링장,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41797,[서울 종로] 웰메이드 감성연극 최고의사랑★공연,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41803,[서울 은평] 미스터힐링 : 힐링카페 연신내점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41804,[서울 종로] 한국자전거나라의 국립고궁박물관,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41807,[서울 용산] 미스터힐링 : 힐링카페 숙대입구역점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41809,[서울 용산] 한국자전거나라의 국립중앙박물관 투어,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41815,[서울/경기出] 척산온천+낙산사+속초먹거리(당일),• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41817,[춘천/가평] 춘천가평투어패스,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41819,[대구 달성] 네이처파크 연간회원권,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41821,"[서울 마포] 홍대연극 관객과의전쟁, 쇼미더퍼니, 홍콩쇼 2월★개그공연",• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41822,[서울 성동] VR 피그미풀,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41828,[서울출발] 부산 핫플레이스 완전정복(1박),• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41830,[서울 종로] 옥탑방고양이 2월★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41831,[서울 청량리] 미스터힐링 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41832,[서울 동작] 미스터힐링 이수역 / 노량진점 ★황금연휴,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41833,[서울 중구] 미스터힐링 동대문 명동역 본점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41834,[서울 서초] 미스터힐링 강남/교대 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41843,[전남 완도] 완도 타워스카이,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41849,[서울 홍대] 놀숲 홍대입구점 주중 이용권,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41856,[경기 가평] 자라섬 씽씽 겨울 축제 입장권★핫딜,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41861,[부산/김해 出] 덕유산 눈꽃여행 + 합천 영상테마파크★당일여행,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41863,[서울 종로] 연극 그녀를 믿지마세요 2월★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41867,[강원 원주] 오크밸리 소나타오브라이트 3D 라이팅쇼,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41870,[서울 종로] 미스터힐링 대학로점 / 종각역점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41873,[경기 고양] 미스터힐링 일산풍동점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41877,[경기 광명] 미스터힐링 광명철산점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41878,[경기 용인] 하이롤 롤러스케이트클럽,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41880,[경기 구리] 미스터힐링 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41881,[서울 영등포] 미스터힐링 롯데시네마 영등포점 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41883,[서울 송파] 미스터힐링 잠실새내/문정역점 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41885,[서울 강남] 김지안의 향기 향수 원데이클래스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41886,[서울 성북] 미스터힐링 : 힐링카페 성신여대점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41888,[부산역집결] 부산야경투어★ 당일여행,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41891,[서울 신촌] 캠프VR 신촌점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41892,[경기 화성] 캠프VR 화성동탄점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41894,[경기 군포] 미스터힐링 군포당정동점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41896,[서울/경기出] 앞산 케이블카&전망대+대구골목투어★당일여행,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41897,[경기 일산] 원마운트 스노우파크 이벤트 특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41898,[경기 일산] 원마운트 워터파크 종일권 이벤트 특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41899,[서울 대학로] 연극 하트시그널 2월★공연,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41902,[경기 부천] 미스터힐링 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41905,[경기 가평] ★짚라인 체험이용권 8개코스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41908,[경기 부천] 플레이아쿠아리움 씨워커 체험권,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41919,[강원 속초] 설악워터피아 종일 이용권 ★설특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41920,[강원 평창] 휘닉스평창 리프트권 PKG ★설특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41929,[경기 가평] 캠프통아일랜드 스노우랜드,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41931,[충남 아산] 파라다이스 스파 도고 ★설특가,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41935,[부산출발] 부산야경투어 당일여행 ★ 설특가,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41937,[강원 속초] 속초먹방&영금정&바다향기로 ★ 당일여행,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41940,[부산/김해 出] 덕유산 눈꽃여행 + 합천 영상테마파크 당일여행 ★설특가,• 문의전화 : 1644-1346  (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41942,[강원 강릉] 정동진&하늘목장 ★ 당일여행,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41944,"[서울 마포] 개그 프로듀스 18★홍대 연극, 공연",• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41945,[경기 성남] 미스터힐링 미금역점/성남모란역점/ 야탑역점/ 위례신도시점★,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41947,[수원4개 지점] 미스터힐링 : 힐링카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
41949,[강원 춘천] 엘리시안 강촌 18/19 야간 스키리프트권+장비렌탈 비수기,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
41951,[부산] 부산 완전 정복 무박버스여행,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
