LSR_GOODS_CD,LSR_GOODS_NM,RFN_POLICY_DC
46151,[서울 종로] 그들만의 화끈한 6번자세 핫식스★공연 7월,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * 부분취소/부분환불 불가능합니다.
46152,[대구] 치맥페스티벌 프리미엄존 치맥PKG!,"* 이용 1일 전 취소신청시 100% 환불가능 * 이용 당일 취소신청 및 환불 불가 * 사용한 티켓은 환불 불가능합니다. * 패키지상품 부분취소,부분환불불가 * 당일 예약자가 만 19세 미만일 경우 입장불가 및 환불 불가"
46154,[인천 중구] 파라다이스시티 씨메르 (~7/25),* 미사용티켓 환불 가능 * 유효기간 이후 미사용티켓 환불 가능 * 사용한 티켓 환불 불가
46155,[인천 중구] 파라다이스시티 원더박스 테마파크_7월,* 미사용티켓 환불 가능 * 유효기간 이후 미사용티켓 환불 가능 * 사용한 티켓 환불 불가 * PKG권 부분사용 후 미 사용분에 대해 부분 환불 불가
46157,[부산 진구] 서면 마녀의 초대장 ★전시,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
46158,[충남 부여] 롯데 부여 아쿠아가든_7월,• 유효기간 내 취소시 100% 환불 가능 • 유효기간 이후 환불/대체/변경 불가 • 사용한 티켓 환불 불가
46160,[경기 의정부] 아일랜드캐슬 워터파크&스파,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 환불가능 • 사용한 티켓은 환불 불가능합니다. • 부분 이용 / 부분 환불 불가능합니다. • 구매하신 상품은 이용당일에 모두 사용해야하며 부분취소 및 부분환불 절대불가
46161,[전북 김제] 모악랜드 워터파크&사계절썰매,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46162,[충북 단양] 레저관광 패러글라이딩,"* 유선예약후 당일 취소는 취소/환불 불가합니다.   * 예약일 4일전 100%환불 * 예약일 3일전 90%환불 * 예약일 2일전 70%환불 * 예약일 1일전 50%환불  * 이용예약일 당일 환불불가  * (단, 기상악화로 인해 패러글라이딩 이용 못할 경우 전액환불 가능합니다) 사용한 티켓은 환불 불가능합니다."
46163,[부산 북구] 포시즌파크 야외수영장,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46164,[경기 의정부] 아일랜드캐슬_찜질방&바데풀,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 환불가능 • 사용한 티켓은 환불 불가능합니다.
46165,[전국 6개 지점] 딸기가좋아 키즈카페_8월,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 환불불가 • 사용한 티켓은 환불 불가능합니다. • 부분 이용 / 부분 환불 불가능합니다. • 구매하신 상품은 이용당일에 모두 사용해야하며 부분취소 및 부분환불 절대불가
46166,[강원 평창] 휘닉스평창 블루캐니언_7월,* 미사용티켓 100% 환불 가능 * 유효기간 이후 미사용 티켓 100% 자동환불 * 사용한 티켓 환불 불가
46167,[제주 서귀포] 아일랜드에프 선상낚시,"* 이용일 2일전 취소 : 환불불가 / 단, 1회 한하여 이용일 변경가능(일정변경 이후 취소불가) * 이용일 1일 전 ~ 당일취소 / No show : 환불 및 일정변경 불가    * 단, 기상악화롤 인하여 이용일 당일 출항이 불가 한 경우에 한하여 안내 후 전액 환불    * (비가와도 출항합니다. 기상악화의 기준은 강한 풍랑(또는 풍랑주의보 발효), 높은 파고 등으로 인하여 선장님께서 출항할 수 없다고 판단한 경우를 기준으로 합니다. * 천재지변, 현지 사정으로 인한 취소 시 전액 환불 가능하며, 이를 제외 한 모든 사유 개인사정, 지각 등)는 취소 및 환불규정에 따릅니다. * 사용한 티켓 환불 불가 * 중복 할인 적용 불가 * 티켓은 취소 및 환불규정에 따라 이용일 2일전 자동 사용처리 됩니다."
46168,[대구 달서] 이월드 자유이용권+치맥페스티벌PKG,"*  유효기간 내 미사용티켓 100% 환불가능 *  유효기간 종료 후 미사용티켓 100% 환불가능  *  사용한 티켓은 환불 불가능합니다. *  PKG 상품으로 부분환불 불가하며, 이용일 당일 모두 사용해야합니다.  *  치맥페스티벌 : 당일 이용자가 만 19세 미만일 경우 입장불가 및 환불 불가"
46169,[경기 용인] 에버랜드/캐리비안베이 2/3인권+ 양지파인리조트 7~8월 1박 PKG,* 유효기간 내 미사용티켓 (객실날짜 미예약 및 에버랜드 티켓 미사용시) 100% 환불가능 * PKG상품 특성상 하나의 시설물이라도 이용하셨을 경우 부분환불 불가능합니다.       * 양지파인리조트의 날짜예약을 함과 동시에 티켓은 이용한 것으로 간주됩니다. * 취소 or 체크인날짜 예약변경을 원할 시      * 체크인 3일전 예약변경가능 /  2일전~당일 예약변경불가합니다.     * (휴일포함 17:00 기준 적용)
46170,[경기 과천] 서울랜드 종일권+야외풀장PKG,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불불가 * 사용한 티켓은 환불 불가능합니다. * 이용권 및 야외풀장은 하루에 모두 이용하셔야 합니다. (부분 환불 불가)
46171,[강원 춘전] 골든몽키_수상레저♥,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
46172,[강원 정선] 하이원워터월드 포시즌 물놀이용품렌탈,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불불가 * 사용한 티켓은 환불 불가능합니다.
46173,[강원 홍천] 2019 썸머미션 대명 오션월드 오션페스타,* 7/21까지 100% 환불 가능 * 7/21 이후 취소 및 환불 불가 * 우천 등 기상 악화로 인한 당일 취소 및 환불 불가 * 부분환불 및 중복할인 불가 * 사용한 티켓 환불 불가
46174,[경기 가평] 아이템수상레저 초보강습PKG (빠지)♥,* 유효기간 무관 미사용 환불 100% * 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * 부분취소/부분환불 불가능합니다.
46175,[경기 양평] 토마토 수상레저,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * 부분취소/부분환불 불가능합니다.
46176,[경기 용인] 에버랜드/캐리비안베이+카인드호텔1박 PKG,* 유효기간 내 미사용티켓 (객실날짜 미예약 및 에버랜드 티켓 미사용시) 100% 환불가능 * PKG상품 특성상 하나의 시설물이라도 이용하셨을 경우 부분환불 불가능합니다.       * 양지파인리조트의 날짜예약을 함과 동시에 티켓은 이용한 것으로 간주됩니다. * 취소 or 체크인날짜 예약변경을 원할 시      * 체크인 3일전 예약변경가능 /  2일전~당일 예약변경불가합니다.     * (휴일포함 17:00 기준 적용)
46177,[경기 가평] 캠프통포레스트 골드시즌 (1인이용권),* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46178,[서울 광진] 피크닉109 뚝섬점,* 유효기간 무관 미사용 환불 100% * 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * 부분취소/부분환불 불가능합니다.
46179,[강원 양양]죽도 배럴서프스쿨 서핑강습,"* 이용 2일 전 취소신청시 100% 환불가능 * 이용 하루 전, 당일 취소/환불 불가 * 패키지 부분환불 불가  * (단, 현장사정에 따라 운행이 불가능해 질 경우에는 100%환불가능)"
46180,[제주 서귀포] 산방산 사랑의 유람선 : 유람선투어,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 중복 할인 적용 불가
46181,[제주 서귀포] 불빛정원+본태박물관,•  유효기간 내 미사용티켓 100% 환불가능 •  패키지 1곳 이상 부분이용 시 환불 불가 •  중복 할인 적용 불가 합니다. •  사용한 티켓은 환불 불가능합니다. •  부분 이용 / 부분 환불 불가능합니다. •  구매하신 상품은 이용당일에 모두 사용해야하며 부분취소 및 부분환불 절대불가
46182,[경기 고양] 삼송 공룡테마파크 여름수영장 주중권,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 이후 환불가능 * 사용한 티켓은 환불 불가능합니다.
46183,[경기 가평] 캠프통포레스트 블루시즌1_다인권,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46184,[전남 나주] 중흥 골드스파&워터락 7월,* 예약 상품 / 이용 1일전 100% 환불		 * 이용 1일 전 취소신청시 100% 환불가능 * 이용 당일 취소신청 및 환불 불가
46185,[전남 화순] 금호리조트 아쿠아나 골드시즌,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불불가 * 사용한 티켓은 환불 불가능합니다.
46186,[경기 용인] 캐리비안베이(골드시즌) 2인권+ 양지파인리조트 1박 PKG,* 유효기간 내 미사용티켓 (객실날짜 미예약 및 에버랜드 티켓 미사용시) 100% 환불가능 * PKG상품 특성상 하나의 시설물이라도 이용하셨을 경우 부분환불 불가능합니다.       * 양지파인리조트의 날짜예약을 함과 동시에 티켓은 이용한 것으로 간주됩니다. * 취소 or 체크인날짜 예약변경을 원할 시      * 체크인 3일전 예약변경가능 /  2일전~당일 예약변경불가합니다.     * (휴일포함 17:00 기준 적용)
46187,[경상 거제] 거제씨월드 여름시즌 입장권,"* 사용한 티켓 환불 불가 * 미사용 티켓 100% 환불가능 * 유효기간 종료 후 취소 환불 가능 * (티켓 사용 유무를 체크해야 하므로, 취소 요청 시 주말 제외   영업일 기준 약2~3일 소요될 수 있습니다.)"
46188,[대전 중구] 오월드 할로윈 월드 자유이용권 특가,* 미사용티켓 100% 환불 가능 * 유효기간 이후 미사용 티켓 100% 자동환불 * 사용한 티켓 환불 불가
46189,[경기 안성] 팜랜드,* 미사용티켓 100% 환불 가능 * 유효기간 이후 미사용 티켓 환불 가능 * 사용한 티켓 환불 불가
46190,[강월 영월] 동강레저+식사PKG 끝판왕!,"* 레저+식사 PKG 상품으로 예약 당일 모두 이용해야하며 부분 환불 불가합니다.   * 이용 1주일전 100% 환불가능 * 이용 6일전 90% 환불가능 * 이용 5일전 70% 환불가능 * 이용 4일전 60% 환불가능 * 이용 3일전 50% 환불가능  * 이용 1~2일전 취소 및 변경시 환불 불가(당일취소 및 변경도 환불 불가) * 일정을 변경 또는 연기 하시는 경우에도 취소환불 규정에 따라 처리 됩니다.  * 유효기간 내 환불가능 * 당일취소불가 * 유효기간 이후 환불불가   * 예약 후 당일 예약취소 및 미방문시 사용처리 됩니다.   * 취소시 위약금은 현장에 확인 후, 업체 계좌로 입금해야 합니다.     * (단, 현장사정에 따라 운행이 불가능해 질 경우에는 100%환불가능)"
46191,[경기 가평] 캠프통포레스트 블루시즌2_1인권,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46192,[충남 보령] 대천 호텔 마스타  워터파크 GOLD 시즌!,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 환불불가 • 사용한 티켓은 환불 불가능합니다.
46193,[경기 가평] 캠프통포레스트 블루시즌2_다인권,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46194,[강원 평창] 대관령 하늘목장_7월,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 해당 상품은 중복 할인 적용 불가합니다.
46195,[경기 과천] 서울랜드 오후/야간권(AFTER 2/5/7)_8월,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 해당 상품은 중복 할인 적용 불가합니다.
46196,[대구 달성] 네이처파크 오후권,•  유효기간 내 취소/환불 가능 •  미사용 티켓 100% 환불가능 •  사용한 티켓 환불 불가 •  중복 할인 적용 불가
46197,[제주 서귀포] 송악산 킥보드 체험,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
46198,[경기 가평] 리버랜드_수상레저♥,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
46199,후) [강원 정선] 하이원워터월드 월남렌탈/최고급모자증정,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불불가 * 사용한 티켓은 환불 불가능합니다.
46200,[경기 가평] 캠프통포레스트★단 이틀간 슈퍼초특가,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46201,[경기 가평] 캠프통포레스트 ★풀 페스티벌 ★,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46202,[전남 나주]중흥 골드스파&리조트 워터락 한정★특가!,* 예약 상품 / 이용 1일전 100% 환불		 * 이용 1일 전 취소신청시 100% 환불가능 * 이용 당일 취소신청 및 환불 불가
46203,[충남 아산] 파라다이스 스파 도고 골드시즌 이용권,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * 부분취소/부분환불 불가능합니다.
46204,[부산 동구] 이바구길 : 버스투어,"* 출발 4일전 취소 : 100% 환불  * 출발 3일전 취소 : 80% 환불  * 출발 2일전 취소 : 50% 환불  * 출발 1일전, 당일취소 : 환불 불가       * 사용 후 취소, 환불 불가    * 우천시 투어 진행. 단, 태풍 등으로 불가능하다고 판단될때 100% 환불"
46205,[경기 가평] 캠프통아일랜드_골드시즌1 (7/20~7/26 빠지),* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46206,[대구 달성] 대구 스파밸리 골드시즌 얼리버드!,* 패키지 1곳 이용시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불 가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46207,[서울 잠실] 롯데월드 서울스카이★슈퍼초특가,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46209,[부산 해운대] 벡스코키즈월드 + 딩동댕동화나라 PKG,• 유효기간 내 미사용티켓 환불가능 • 유효기간 후 환불불가 • 사용한 티켓 환불불가
46210,[부산 동구] 야경투어 : 이색관람,"* 사용 후 취소, 환불 불가  * 우천시 투어 진행. 단, 태풍 등으로 불가능하다고 판단될때 100% 환불   * 출발 4일전 취소 : 100% 환불  * 출발 3일전 취소 : 80% 환불  * 출발 2일전 취소 : 50% 환불  * 출발 1일전, 당일취소 : 환불 불가"
46211,[전북 전주] 전주가맥축제+한옥마을투어패스,* 사용개시 후 취소환불 불가 * 유효기간 내 미사용시에만 전액 취소환불 가능 * 유효시간 초과후 입장불가 * 양도및 재판매불가 * 유효기간 이후 환불가능 * 유효기간 만료 후 잔여 일수 및 횟수 사용불가
46212,[충북 청주] 레전드히어로즈 청주성안점,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불불가 * 사용한 티켓은 환불 불가
46213,[경주] 블루원 워터파크_골드시즌 이용권 종일/오후권,* 미사용티켓 환불 가능 * 유효기간 이후 미사용티켓 환불 가능 * 사용한 티켓 환불 불가
46215,[경기 일산] 원마운트 워터파크 선착순 한정특가!,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불가능 * 사용한 티켓은 환불 불가능합니다.
46216,[경기 용인] 캐리비안베이(골드시즌)+ 더숨포레스트호텔 1박 PKG,* 유효기간 내 미사용티켓 (객실날짜 미예약 및 에버랜드 티켓 미사용시) 100% 환불가능 * PKG상품 특성상 하나의 시설물이라도 이용하셨을 경우 부분환불 불가능합니다.       * 더숨포레스트 호텔의 날짜예약을 함과 동시에 티켓은 이용한 것으로 간주됩니다. * 취소 or 체크인날짜 예약변경을 원할 시      * 체크인 3일전 예약변경가능 /  2일전~당일 예약변경불가합니다.     * (휴일포함 17:00 기준 적용)
46217,[경기 가평] 캠프통아일랜드_골드시즌2 (7/27~8/4 빠지),* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46219,[경기 안성]  팜랜드_2종 패키지,* 미사용티켓 100% 환불 가능 * 유효기간 이후 미사용 티켓 환불 가능 * 사용한 티켓 환불 불가
46220,[제주 한경] 힐링카약비체올린 여기가볼래,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46221,[제주 애월] 화조원 여기가볼래,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가 * SMS OR 카카오 알림톡 수신 (미수신시 1522-2089 문의)
46222,[경기 용인] 에버랜드 종일권/야간권 (7/15~8/31)(썸머워터펀),•  유효기간 내 미사용티켓 100% 환불가능 •  유효기간 종료 전까지 미이용한 티켓은 자동 구매취소 처리됩니다.      * (유효기간 만료 4일 후  자동 구매취소처리)    •  사용한 티켓은 환불 불가능합니다.
46224,[당일사용가능] 캐리비안베이 골드시즌2 종일권/캐비 골드시즌 종일이용권,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 종료 전까지 미이용한 티켓은 자동 구매취소 처리됩니다.     * (유효기간 만료 4일 후  자동 구매취소처리)       * 사용한 티켓은 환불 불가능합니다. * 취소접수 후 익일 취소환불 처리 진행되오니 참고 부탁드립니다.
46225,[경기 부천] 웅진플레이도시 워터파크&스파_커플권,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불불가 * 사용한 티켓은 환불 불가능
46226,[대구 달서] 이월드 썸머 맥주 페스티벌,"* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * PKG옵션은 이용 당일에 모두 이용해야 하며, 부분취소 및 부분 환불 불가합니다."
46227,[제주 서귀포] 제주민속촌 여기가볼래 : 이색체험,• 패키지 1곳 이상 부분이용 시 환불 불가 • 유효기간 내 취소/환불 가능 • 미사용 티켓 100% 환불가능 • 사용한 티켓 환불 불가 • 중복 할인 적용 불가
46228,[바로사용] 캐리비안베이 종일 2인 패키지(대인1+소인1),* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 종료 전까지 미이용한 티켓은 자동 구매취소 처리됩니다.   * (유효기간 만료 4일 후  자동 구매취소처리) * 사용한 티켓은 환불 불가능합니다. * 취소접수 후 익일 취소환불 처리 진행되오니 참고 부탁드립니다.
46229,[충남 덕산] 스플라스 리솜 워터파크&리조트 GOLD 시즌!,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * 부분취소/부분환불 불가능합니다.
46230,[충남 예산] 스플라스 워터파크 종일권_골드시즌 ★특가,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능
46231,[충남 예산] 리솜 스플라스 워터파크 커플권 GOLD 시즌 ☆초특가,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 미사용티켓 환불가능 • 사용한 티켓은 환불 불가 • 부분환불/부분취소 불가
46232,[경기 용인] 기흥 하이주 연간회원권,"* 정보 등록 후 환불 불가, 정보 등록기간 이후 환불불가   * 정보 등록과 동시에 티켓은 사용처리 됩니다."
46234,[경기 고양] 러브 피크닉,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * 부분취소/부분환불 불가능합니다.
46235,[경기 가평] 캠프통아일랜드_골드시즌3 (8/5~8/15 빠지),* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46236,[충남 예산] 스플라스 리솜 워터파크 커플권 HIGH 시즌 ★초특가,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 미사용티켓 환불가능 • 사용한 티켓은 환불 불가 • 부분환불/부분취소 불가
46237,[부산 남구] 부산 워킹투어,* 예약 상품 / 이용 1일전 100% 환불		 * 이용 1일 전 취소신청시 100% 환불가능 * 이용 당일 취소신청 및 환불 불가
46238,[부산 부산타워] 한옥마을 한복대여 한복남,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가 * 부분취소/부분환불 불가능합니다. * 입장과 동시에 티켓은 사용처리됩니다.
46239,[경남 김해] 롯데워터파크 종일권_골드시즌,* 미사용티켓 100% 환불 가능 * 유효기간 이후 미사용 티켓 100% 자동환불 * 사용한 티켓 환불 불가
46241,[제주 서귀포] 대발이파크 여기가볼래?,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
46242,[대구 달서] 이월드 자유이용권 슈퍼초특가★(호러축제+크레이지 워터파크 오픈),"* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * PKG옵션은 이용 당일에 모두 이용해야 하며, 부분취소 및 부분 환불 불가합니다."
46243,[전국] 코코몽키즈랜드 키즈카페 7월,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불불가 * 사용한 티켓은 환불 불가능합니다.
46244,[충북 제천] 리솜 해브나인 HIGH시즌 커플권★초특가,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 미사용티켓 환불가능 • 사용한 티켓은 환불 불가 • 부분환불/부분취소 불가
46245,[대구 달서] 이월드 연간회원권 7월,* 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다.
46247,[충북 제천] 리솜 해브나인 커플권 GOLD 시즌 ☆초특가,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 미사용티켓 환불가능 • 사용한 티켓은 환불 불가 • 부분환불/부분취소 불가
46248,[전남 여수] 여수 아쿠아플라넷 + 테디베어 패키지,* 유효기간내 미사용 티켓 환불가능 * 유효기간후 미사용 티켓 불가 * 복합권이므로 부분 취소 불가 * 권종 및 인원을 잘못 선택하여 결제 하였을 경우 취소 후 다시 재 구매 하셔야 합니다.  * 본 쿠폰은 현장에서 현금으로의 환불 및 카드 취소가 불가한 상품입니다.
46250,[충북 제천] 리솜 해브나인 GOLD 시즌!,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 미사용티켓 환불가능 • 사용한 티켓은 환불 불가 • 부분환불/부분취소 불가
46251,[충남 천안] 실내동물원 테마파크 쥬쥬피아,"* 유효기간 내 환불가능 * 유효기간 후 환불불가 * 패키지상품 이용당일에 모두이용해야하며 부분취소,부분 환불불가 * 사용한 티켓은 환불이 불가합니다.  * 이용과 동시에 티켓은 사용처리됩니다."
46252,[경북 경주] 세계문화유산 등축제,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46253,[제주 서귀포] 번개과학체험관+휴애리,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46254,[제주 서귀포] 번개과학체험관+헬로키티아일랜드,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46255,[제주 서귀포] 번개과학체험관+마린스테이지,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46256,[경기 이천] 테르메덴  풀앤스파,* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불가능 * 사용한 티켓은 환불 불가능합니다.
46257,[제주 서귀포] 번개과학체험관+에코랜드,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46258,[제주 서귀포] 번개과학체험관+불빛정원,* 패키지 1곳 이상 부분이용 시 환불 불가 * 유효기간 내 취소/환불 가능 * 미사용 티켓 100% 환불가능 * 사용한 티켓 환불 불가 * 중복 할인 적용 불가
46259,[서울 광진] 한강 서퍼스트,* 예약 1일 전 취소신청시 100% 환불가능   * (단 영업일 업무시간내 신청시) * 예약 당일 취소신청 및 환불 불가
46260,[충남 태안] 안면도 리솜 오션캐슬 아쿠아월드 커플권 HIGH시즌★초특가,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 미사용티켓 환불가능 • 사용한 티켓은 환불 불가 • 부분환불/부분취소 불가
46261,[강원 영월] 동강 OK래프팅 숙박+식사PKG,"* 레저단품  * 예약 1일전/ 미예약 입장권에 한하여 100% 환불가능 * 예약 당일취소불가 * 주말 예약 후 당일 예약취소 및 미방문시 사용처리 됩니다. * 패키지 상품(래프팅+ATV)은 이용당일에 모두 사용해야하며 부분취소 및 부분환불불가 * 영업일/영업시간 내  취소신청 필수  * 이용 1주일전 100% 환불가능 * 이용 6일전 90% 환불가능 * 이용 5일전 70% 환불가능 * 이용 4일전 60% 환불가능 * 이용 3일전 50% 환불가능 * 이용 1일전 및 당일 취소 및 변경시 환불 불가 * 일정을 변경 또는 연기 하시는 경우에도 취소환불 규정에 따라 처리 됩니다. * (단, 현장사정에 따라 운행이 불가능해 질 경우에는 100%환불가능) * 영업일/영업시간 내  취소신청 필수"
46262,[충남 태안] 안면도 리솜 오션캐슬 GOLD 시즌,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 미사용티켓 환불가능 • 사용한 티켓은 환불 불가 • 부분환불/부분취소 불가
46263,[충남 태안] 안면도 리솜 오션캐슬 아쿠아월드 커플권 GOLD 시즌!,• 유효기간 내 미사용티켓 100% 환불가능 • 유효기간 후 미사용티켓 환불가능 • 사용한 티켓은 환불 불가 • 부분환불/부분취소 불가
46264,[경기 화성] 화성투어패스+하피랜드 워터파크 PKG,"* 유효기간 내 미사용티켓 전액환불 * 유효기간 후 환불시 환불가능 * 사용개시 후 취소, 환불은 불가합니다. * 유효기간 만료 후 잔여 일수 및 횟수 사용불가"
46266,[경기 가평] 캠프통포레스트 골드시즌 (1인이용권),* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 환불 가능 * 사용한 티켓은 환불 불가능합니다.
46267,[경기 하남] 7월 2차 아쿠아필드 하남점,•  유효기간 내 미사용티켓 100% 환불가능 •  유효기간 종료 후 미사용티켓 100% 환불 •  사용한 티켓은 환불 불가능합니다. •  부분 이용 / 부분 환불 불가능합니다. •  구매하신 상품은 이용당일에 모두 사용해야하며 부분취소 및 부분환불 절대불가
46269,[경북 경산] 펀펀비치 워터파크  하이시즌 (8.15 이용불가),* 유효기간 내 미사용티켓 100% 환불가능 * 유효기간 후 미사용티켓 100% 환불가능 * 사용한 티켓은 환불 불가능합니다. * 부분취소/부분환불 불가능합니다.
46270,[경기 고양] 7월 2차 아쿠아필드 고양점,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 구매하신 상품은 이용당일에 모두 사용해야하며 부분취소 및 부분환불 절대불가
